Source_Name,RAJ2000,DEJ2000,GLON,GLAT,P0,dP0,P1,dP1,Dist,Edot,Bsurf,Catalog,BLC,RLC,gmax,gradLC
,,,,,1.1910239966,8e-10,1.88e-15,4e-17,1.322,4.4e+31,1513354220656.0234,ATNF,8.253674944447356,56810.82251565319,27517524.538042795,11007186.360674499
,,,,,1.51569599263,1.2e-10,6e-16,3e-17,0.811,6.8e+30,964457485647.6868,ATNF,2.5522022360203716,72297.39809676452,10828509.376694728,19794405.262554854
,,,,,1.78703680542,4e-11,2.346e-15,4e-18,7.776,1.6e+31,2070771429360.5906,ATNF,3.3434895978973227,85240.12200549436,16725340.319366535,17294181.47156716
,,,,,2.0710402725,5e-10,8.476e-14,3e-17,6.404,3.8e+32,13399579134791.74,ATNF,13.899328825240145,98786.84365692276,80579369.19104628,8482094.082273917
,,,,,0.214771109789,6e-12,9.0689e-16,5e-20,4.753,3.6e+33,446340863230.4938,ATNF,415.15222410689205,10244.397623006502,249588585.60090408,1552016.433756446
,,,,,8.43772106,7e-08,2.1e-14,3e-15,,1.4e+30,13462435676313.629,ATNF,0.2064982867225124,402472.05341341073,4877340.844408282,69589188.74633798
,,,,,0.8311557274,3e-10,1.885e-15,1.2e-17,14.868,1.3e+32,1265896765103.4814,ATNF,20.315119816458157,39645.41490934224,47265393.700202204,7016011.7219552165
,,,,,1.874268518252,6e-12,1.35439e-15,4e-20,3.26,8.1e+30,1611347413729.5713,ATNF,2.255080547089778,89400.99984639611,11831378.790861797,21058089.67006145
,,,,,0.5914175857222,1.4e-12,7.982e-16,7e-19,7.861,1.5e+32,694871325675.1442,ATNF,30.95209089800369,28210.11129164013,51241957.97237322,5684012.233054445
,,,,,0.456511944952,4e-12,4.5864e-16,6e-20,3.687,1.9e+32,462768137250.4679,ATNF,44.820357458396785,21775.228001265707,57275508.18773115,4723482.841363445
,,,,,0.759777464363,4e-12,1.13147e-15,4e-20,5.271,1e+32,937704796548.4032,ATNF,19.700407865807897,36240.73301842607,41898947.6543687,7124631.24553111
,,,,,0.7529065430494,1e-12,2.26734e-16,9e-21,2.0,2.1e+31,417859492464.50104,ATNF,9.021429552996251,35912.995968307645,19013318.49573864,10528398.604316283
,,,,,0.279828696565,5e-12,1.37862e-15,4e-20,5.371,2.5e+33,628159343348.2745,ATNF,264.1565470479443,13347.588680599709,206916497.4336867,1945670.5728205855
,,,,,1.8465342015,3e-10,3.652e-14,1.1e-16,9.274,2.3e+32,8305111631390.243,ATNF,12.154629072453897,88078.09673857572,62826165.73550515,9070456.504059594
,,,,,0.61710720555,1.2e-10,9.6e-15,3e-17,5.873,1.6e+33,2461599171487.014,ATNF,96.51699424887704,29435.484110909943,166726984.6211952,3218830.4843633655
,,,,,1.6254054724,1.6e-10,4.52e-15,3e-17,8.157,4.2e+31,2741267947238.7124,ATNF,5.88213027676909,77530.44613046534,26763188.091422226,13038651.588449102
,,,,,1.63679245172,1.7e-10,2.8e-16,4e-17,10.147,2.5e+30,684663592105.1184,ATNF,1.4386816267942215,78073.59527186352,6591735.926368217,26364385.382826935
,,,,,0.3785964921974,2.7e-12,2.99e-17,1.4e-18,7.9,2.2e+31,107603227734.18588,ATNF,18.271064269556316,18058.727770955953,19363413.544748172,7398063.886320228
,,,,,0.4059359629899,5.3e-12,2.24e-16,2.5e-18,7.9,1.3e+32,304967939300.74335,ATNF,42.00973130694144,19362.79706536013,47736318.43735918,4878935.178243564
,,,,,0.97470037336,6e-11,3.55e-16,3e-18,16.078,1.5e+31,594909843047.6235,ATNF,5.919786732868265,46492.37133338197,16151716.50275173,12997115.234444428
,,,,,0.148894507003,3e-12,1.77809e-14,8e-19,15.673,2.1e+35,1645574768176.78,ATNF,4593.565305850376,7102.1402046057765,1914564759.8970993,466578.8544349936
,,,,,0.834839272621,1.4e-11,1.35e-16,4e-18,3.826,9.2e+30,339523415878.85077,ATNF,5.376868587318523,39821.11685521067,12565326.64942444,13637516.49396601
,,,,,0.3099045934277,9e-13,9.3609e-17,6e-21,14.039,1.2e+32,172255945791.41394,ATNF,53.32839153534848,14782.183150185178,46262381.75574815,4330327.6448612595
,,,,,4.26321348,8e-08,5.6268e-13,8e-17,3.301,2.9e+32,49533691096013.54,ATNF,5.890575867591673,203351.6243585484,70296924.34466124,13029301.177071026
,,,,,0.226538990075,4e-12,7.9e-18,9e-19,4.123,2.7e+31,42784497688.50248,ATNF,33.9098494040192,10805.715413598364,21503557.316558026,5430465.631635882
,,,,,0.39352163764,6e-11,3.455e-15,6e-18,4.793,2.2e+33,1179260484491.9844,ATNF,178.3085626861718,18770.64439999145,196418461.89077717,2368175.59037512
,,,,,0.598081935375,4e-12,6.32528e-15,1.1e-19,2.857,1.2e+33,1967078229671.556,ATNF,84.72427875936133,28527.995050815654,141843701.28377995,3435548.309090855
,,,,,0.337320795791,3e-12,9.323e-16,3e-19,3.297,9.6e+32,567153755349.0533,ATNF,136.15693518387764,16089.912474666418,128565479.25461215,2710067.5524140378
,,,,,0.921459731325,5e-12,4.49522e-15,4e-20,5.862,2.3e+32,2058330303579.0151,ATNF,24.241209731464522,43952.83839877761,62527654.7392588,6422777.177346425
,,,,,0.3332537343,1.8e-09,3.7904e-14,5e-18,5.195,4e+34,3594441715526.334,ATNF,894.9003453495825,15895.917131847942,834816818.7386738,1057091.6982562419
,,,,,0.03378133193189,1.3e-13,2.9e-20,1.9e-22,1.723,3e+31,1001010874.0325571,ATNF,239.2636877177056,1611.3405424269608,22625336.696154106,2044379.9072451724
